product_name,product_ticker,category,release_date,sale_count,average_sale_price,topic,material,special_version,search_volume
Funko Pop! Animation Boruto Naruto (Hokage) AAA Anime Exclusive Figure #724,F-POABNA24,anime,,10,26.3,boruto naruto,no,aaa_anime_exclusive,23000
Funko Pop! Animation DragonBall Z Beerus (Metallic) SDCC Figure #120,F-POADZB20,anime,6/15/2016,10,209.1,beerus,metallic,SDCC,74000
Funko Pop! Animation Dragonball Z Super SSGSS Goku (Kamehameha) Chalice Collectibles Exclusive Figure #563,F-POADZSS63,anime,,10,24.3,goku,no,chalice_exclusive,318000
Funko Pop! Animation My Hero Academia Deku (Glow) Entertainment Earth Exclusive Figure #596,F-POAMHAD96,anime,,10,29.8,deku,glow,earth_exclusive,451000
Funko Pop! Animation Attack On Titan Mikasa Ackerman Figure #21,F-POAAOTM21,anime,7/14/2014,10,200.3,mikasa ackerman,no,no,122000
Funko Pop! Animation My Hero Academia Ochaco Uraraka Funimation Exclusive Figure #887,F-POAMHAO8,anime,,10,35.8,ochaco uraraka,no,funimation_exclusive,52000
Funko Pop! Animation Attack on Titan Armored Titan 6 inch Figure #234,F-POAAOTA34,anime,,10,226.8,armored titan,no,no,36000
Funko Pop! Animation Dragon Ball Super SSG Goku SDCC Exclusive Figure #827,F-POADBSS27,anime,7/22/2020,10,80.9,goku,no,SDCC,318000
Funko Pop! Animation Dragonball Z Porunga Spring Convention Exclusive Figure #550,F-POADZPS50,anime,,10,27.7,porunga,no,spring_convention,1600
Funko Pop! Animation My Hero Academia Todoroki (Glow) Convention Exclusive Figure #372,F-POAMHATC72,anime,,10,45.2,todoroki,glow,convention_exclusive,480000
Funko Pop! Animation Dragonball Super Vegeta Poweing Up (Glow) Chalice Collectibles Exclusive Figure #713,F-POADSVP13,anime,,10,25.8,vegeta,glow,chalice_exclusive,164000
Funko Pop! Animation Dragonball Z Gohan (Training Outfit) Figure #383,F-POADZG83,anime,,10,18.6,gohan,no,no,67000
Funko Pop! Animation Dragonball Z Super Saiyan Trunks NYCC Figure #155,F-POADZSS55,anime,,10,61.8,super saiyan trunks,no,NYCC,1500
Funko Pop! Animation Naruto Shippuden Sasuke Curse Mark Figure #455,F-POANSSC55,anime,,9,58,sasuke,no,no,271000
Funko Pop! Animation Dragonball Z Perfect Cell (Glow) Spring Convention Exclusive Figure #759,F-POADZPC59,anime,,9,23.55555556,perfect cell,glow,spring_convention,14000
Funko Pop! Boruto Mitsuki (Sage Mode) (Glow) Hot Topic Exclusive Figure #699,F-POBMM99,anime,,8,34.75,mitsuki,glow,hot_topic_exclusive,68000
Funko Pop! Animation Dead Yamcha Summer Convention Figure #397,F-POADYSC97,anime,,7,24.42857143,dead yamcha,no,summer_convention,1000
Funko Pop! Animation DragonBall Z Majin Vegeta over9000.com Exclusive Figure #445,F-POADZMV45,anime,11/27/2018,10,61.8,vegeta,no,over9000_exclusive,164000
Funko Pop! Animation Naruto Shippuden Naruto (Rasengan) Figure #181,F-POANSN81,anime,,7,35.28571429,rasengan,no,no,48000
Funko Pop! Animation DragonBall Z Future Trunks (Chase) Hot Topic Exclusive Figure #639,F-POADZFT39,anime,,10,97.3,future trunks,no,hot_topic_exclusive,27000
Funko Pop! Animation My Hero Academia Deku (Battle) Figure #252,F-POAMHAD52,anime,,7,25.28571429,deku,no,no,451000
Funko Pop! Animation DragonBall Z Super Saiyan Vegeta Red Chrome Summer Convention Exclusive Figure #154,FPO-ADZSSVRCEF1,anime,,10,22.5,vegeta,no,summer_convention,164000
Funko Pop! Animation My Hero Academia Hero Killer Stain NYCC Figure #636,F-POAMHAH36,anime,,9,72.11111111,killer stain,no,NYCC,14000
Funko Pop! Animation My Hero Academia Todoroki Figure #372,F-POAMHAT72,anime,,7,27.28571429,todoroki,no,no,480000
Funko Pop! Animation Dragonball Z Super Saiyan 2 Gohan EB Exclusive Figure #518,F-POADZSS18,anime,,6,40.16666667,gohan,no,EB_exclusive,67000
Funko Pop! Animation My Hero Academia Deku in Onesie Game Stop Exclusive Figure #494,F-POAMHAD94,anime,,6,46,deku,no,gamestop_exclusive,451000
Funko Pop! Animation My Hero Academia Mystery Box Mystery Box,F-POAMHAMOX,anime,,6,69,mystery box,no,no,43000
Funko Pop! Animation Dragonball Z Piccolo Fall Convention Edition Figure #670,F-POADZPF70,anime,,6,30.66666667,piccolo,no,fall_convention,97000
Funko Pop! Animation Dragonball Z Super Saiyan 2 Vegeta PX Previews Exclusive Figure #709,F-POADZSS093,anime,,6,21.16666667,vegeta,no,previews_exclusive,164000
Funko Pop! Animation Dragonball Z Vegeta Figure #10,F-POADZVF10,anime,,6,27.16666667,vegeta,no,no,164000
Funko Pop! Animation Dragonball Z Super Saiyan Vegito AAA Anime Exclusive Figure #491,F-POADZSS915,anime,,6,23.66666667,vegeta,no,aaa_anime_exclusive,164000
Funko Pop! Animation Sailor Moon Sailor Mercury Figure #91,F-POASMSM91,anime,,6,85.83333333,sailor mercury,no,no,44000
Funko Pop! Animation My Hero Academia Mr.Compress NYCC Exclusive Figure #820,F-POAMHAM820,anime,10/8/2020,6,40.66666667,mr compress,no,NYCC,22000
Funko Pop! Animation Bleach Ichigo Kurosaki (Hollow) (Black and White) Gamestop Exclusive Figure #96,F-POABIK96,anime,12/23/2015,6,225.8333333,ichigo kurosaki,no,gamestop_exclusive,42000
Funko Pop! Animation DragonBall Z Frieza (Metallic) SDCC Figure #47,F-POADZF47,anime,5/18/2015,10,233.5,frieza,metallic,SDCC,76000
Funko Pop! Animation Dragonball Z Gotenks (Super Ghost Kamikaze Attack) Summer Convention Exclusive Figure #634,F-POADZG3,anime,,10,22.5,gotenks,no,summer_convention,17000
Funko Pop! Animation Dragonball Super Vegeta Poweing Up (Chase) Chalice Collectibles Exclusive Figure #713,F-POADSVP713,anime,,5,53.2,vegeta,no,chalice_exclusive,164000
Funko Pop! Animation Yu Yu Hakusho Hiei Funimation Exclusive Figure #547,F-POAYYHH47,anime,,6,40.33333333,hiei,no,funimation_exclusive,30000
Funko Pop! Animation My Hero Academia Himiko Toga AAA Anime Exclusive Figure #610,F-POAMHAH10,anime,,5,33.8,himiko toga,no,aaa_anime_exclusive,158000
Funko Pop! Animation Bleach Rukia Figure #60,F-POABRF60,anime,,6,123.3333333,rukia,no,no,31000
Funko Pop! Animation DragonBall Z Super Saiyan God Super Saiyan Vegeta (Metallic Blue) GameStop Exclusive Figure #156,F-POADZSS56,anime,10/5/2016,10,56.2,vegeta,metallic,gamestop_exclusive,164000
Funko Pop! Animation Dragonball Z Kid Buu Figure #620,F-POADZKB20,anime,,5,27.4,kid buu,no,no,24000
Funko Pop! Animation My Hero Academia Katsuki Bakugo SDCC Exclusive Figure #803,F-POAMHAK04,anime,7/22/2020,4,112,katsuki bakugo,no,SDCC,30000
Funko Pop! Animation Dragonball Z Android 18 Figure #530,F-POADZA130,anime,,4,18.75,android 18,no,no,81000
Funko Pop! Animation Dragonball Z Resurrection F Beerus SDCC Figure #120,F-POADZRFB20,anime,,4,190,beerus,no,SDCC,74000
Funko Pop! Animation Dragonball Z Vegeta (Chrome) 25 Years of Fun Funimation Figure #10,F-POADZV10,anime,,5,30.2,vegeta,no,funimation_exclusive,164000
Funko Pop! Animation Dragonball Z Frieza Figure #619,F-POADZFF19,anime,,6,20.33333333,frieza,no,no,76000
Funko Pop! Animation Naurto Shippuden Nauto Uzumaki Figure #727,F-POANSNU27,anime,,4,27.25,uzumaki,no,no,122000
Funko Pop! Animation Dragonball Z Super Saiyan 3 Goku EB Exclusive Figure #492,F-POADZSS927,anime,,4,40,goku,no,EB_exclusive,318000
Funko Pop! Animation Attack on Titan Female Titan Figure #233,F-POAAOTF33,anime,,4,119.75,female titan,no,no,28000
Funko Pop! Animation Yu Gi Oh! Blue-Eyes White Dragon Figure #389,F-POAYGO389,anime,,4,33,blue-eyes white dragon,no,no,4800
Funko Pop! Animation Dragonball Goku & Flying Nimbus (Chrome) 25 Years Funimation Exclusive Figure #109,F-POADGF099,anime,,4,31.25,goku,no,funimation_exclusive,318000
Funko Pop! Animation Dragonball Son Goku Funko Insider Club Figure #517,F-POADSGF17,anime,,4,25.5,goku,no,funko_insider_club,318000
Funko Pop! Animation DragonBall Z Broly (Super Saiyan) SDCC Figure #402,F-POADZB02,anime,11/27/2018,10,57.7,broly,no,SDCC,105000
Funko Pop! Animation Attack on Titan Cleaning Levi Hot Topic Exclusive Figure #239,F-POAAOTC39,anime,,5,63,cleaning levi,no,hot_topic_exclusive,1300
Funko Pop! Animation Attack the Titan Eren Jarger Bait Exclusive Figure #20,F-POAATTE20,anime,,4,91.5,eren jaeger,no,bait_exclusive,71000
Funko Pop! Animation Dragonball Super Whis Figure #317,F-POADSWF17,anime,,5,17.6,whis,no,no,30000
Funko Pop! Animation Dragonball Z Super Saiyan Gotenks AAA Anime Exclusive Figure #622,F-POADZSS228,anime,,3,25.66666667,gotenks,no,aaa_anime_exclusive,17000
Funko Pop! Animation Dragonball Z Perfect Cell Figure #13,F-POADZPC139,anime,,3,19.33333333,perfect cell,no,no,14000
Funko Pop! Animation Dragonball Z Planet Arlia Vegeta Toy Tokyo NYCC Figure #10,F-POADZPA10,anime,,3,2150,vegeta,no,tokyo_exclusive,164000
Funko Pop! Animation Naruto Shippeden Sakura Figure #183,F-POANSSF83,anime,,3,23.33333333,sakura,no,no,221000
Funko Pop! Animation Naruto Shippuden Kurama (Glow) GameStop Exclusive 6 Inch Figure #97,F-POANSK97,anime,,3,228.3333333,kurama,glow,gamestop_exclusive,101000
Funko Pop! Animation Sword Art Online Kiritom Hot Topic Exclusive Figure #82,F-POASAOK82,anime,,3,63.66666667,kirito,no,hot_topic_exclusive,112000
Funko Pop! Animation Dragonball Z Super Hit Toys R Us Exclusive Figure #315,F-POADZSH15,anime,,3,26,hit,no,toys_r_us_exclusive,49000
Funko Pop! Animation My Hero Academia Todoroki (Glow) Figure #372,F-POAMHATG72,anime,,4,29.25,todoroki,glow,no,480000
Funko Pop! Animation Attack on Titan Armin Arlelt FYE Exclusive Figure #237,F-POAAOTA37,anime,,3,88.66666667,armin arlert,no,fye_exclusive,53000
Funko Pop! Animation Naruto Shippuden Kaguya Otsutsuki NYCC Exlcusive Figure #179,F-POANSKO179,anime,10/8/2020,3,63,kaguya otsutsuki,no,NYCC,20000
Funko Pop! Animation My Hero Academia Fumikage Tokoyami Figure #607,F-POAMHAF07,anime,,3,23.33333333,fumikage tokoyami,no,no,13000
Funko Pop! Animationo Attack on Titan Eren (Titan Form) Hot Topic Exclusive Figure #22,F-POAAOTE2,anime,,3,178.3333333,eren jaeger,no,hot_topic_exclusive,71000
Funko Pop! Animation One Piece Portgas. D. Ace Figure #100,F-POAOPPD00,anime,,4,30.75,portgas d ace,no,no,18000
Funko Pop! Animation Dragonball Z Master Roshi (Peace Sign) FYE Exclusive Figure #381,F-POADZMR81,anime,,3,19.33333333,master roshi,no,fye_exclusive,50000
Funko Pop! Animation Dragonball Z Tien and Chiaotzu Figure #384,F-POADZTA84,anime,,4,17.75,chiaotzu,no,no,16000
Funko Pop! Animation Dragonball Z Vegeta SDCC Figure #10,F-POADZVS10,anime,,4,58.75,vegeta,no,SDCC,164000
Funko Pop! Animation My Hero Academia Tsuyu Figure #374,F-POAMHAT74,anime,,3,29.33333333,tsuyu,no,no,105000
Funko Pop! Animation Bleach Ichigo Figure #59,F-POABIF59,anime,,2,56,ichigo,no,no,67000
Funko Pop! Animation My Hero Academia Silver Age All Might (Glow) Hot Topic Exclusive Figure #608,F-POAMHASG08,anime,,2,41.5,all might,glow,hot_topic_exclusive,256000
Funko Pop! Animation My Hero Academia Endeavor Game Stop Exclusive Figure #495,F-POAMHAE95,anime,,2,32,endeavor,no,gamestop_exclusive,199000
Funko Pop! Animation Tokyo Ghoul Half-Kakuja Kaneki Figure #465,F-POATGHK65,anime,,2,40,half-kakuja kaneki,no,no,10
Funko Pop! Animation DragonBall Z Goku (w Nimbus) Galactic Toys Exclusive Figure #109,F-POADZG09,anime,9/29/2016,2,56.5,goku,no,galactic_toys_exclusive,318000
Funko Pop! Animation Dragonball Z Super Saiyan Goku Lootcrate Exclusive Figure #14,F-POADZSS146,anime,,2,45,goku,no,lootcrate_exclusive,318000
Funko Pop! Animation Dragonball Z Super Zen-Oh Galactic Toys Exclusive Figure #362,F-POADZSZ62,anime,,3,26.33333333,zen-oh,no,galactic_toys_exclusive,1600
Funko Pop! Animation Fullmetal Alchemist Alphonse Elric Figure #392,F-POAFAAE92,anime,,2,25,alphonse elric,no,no,24000
Funko Pop! Animation Dragonball Z Resurrection F Beerus Figure #120,F-POADZRFR20,anime,,2,60.5,beerus,no,no,74000
Funko Pop! Animation Dragonball Z Mecha Frieza Figure #705,F-POADZNF05,anime,,2,18.5,mecha frieza,no,no,2300
Funko Pop! Animation Fairytail Gajeel (Dragon Force) Spring Convention Edition Figure #481,F-POAFGF81,anime,,2,25,gajeel,no,spring_convention,12000
Funko Pop! Animation My Hero Academia Mei Hatsume Hot Topic Exclusive Figure #681,F-POAMHAM81,anime,,2,65,mei hatsume,no,hot_topic_exclusive,49000
Funko Pop! Aniamtion Death Note Light Figure #216,F-POADNLF16,anime,,2,73.5,light,no,no,404000
Funko Pop! Animation Dragonball Z Piccolo Figure #11,F-POADZPF11,anime,,3,19,piccolo,no,no,97000
Funko Pop! Animation Dragonball Z Master Roshi (Max Power) Funko Specialty Series Figure #533,F-POADZMR33,anime,,2,17.5,master roshi,no,funko_specialty_series,50000
Funko Pop! Animation My Hero Academia Mount Lady Hot Topic Exclusive 6 Inch Figure #612,F-POAMHAM12,anime,,2,43,mount lady,no,hot_topic_exclusive,12000
Funko Pop! Animation Dragonball Z Resurrection F Super Saiyan God Super Saiyan Vegeta Gamestop Exclusive Figure #156,F-POADZRF56,anime,,2,60,vegeta,no,gamestop_exclusive,164000
Funko Pop! Animation My Hero Academia Dabi NYCC Figure #637,F-POAMHAD37,anime,,3,198.3333333,dabi,no,NYCC,274000
Funko Pop! Animation One Piece TonyTony. Chopper Funimation Exclusive Figure #99,F-POAOPTC99,anime,,2,160,tony tony chopper,no,funimation_exclusive,36000
Funko Pop! Animation Sailor Moon Sailor Saturn Figure #299,F-POASMSS99,anime,,1,54,sailor saturn,no,no,48000
"Funko Pop! Animation One Piece Brook (w Guitar) Hot Topic, NYCC Exclusive Figure #358",F-POAOPB58,anime,8/3/2018,1,500,brook,no,NYCC,63000
Funko Pop! Animation Yu Gi Oh! Yami Yugi Figure #387,F-POAYGOY87,anime,,1,34,yami yugi,no,no,15000
Funko Pop! Animation Dragonball Z Super Saiyan 2 Vegeta (Glow) Chase PX Previews Exclusive Figure #709,F-POADZSS09,anime,,3,33,vegeta,glow,previews_exclusive,164000
Funko Pop! Animation Fullmetal Alchemist Edward Elric Figure #391,F-POAFAEE91,anime,,1,35,edward elric,no,no,72000
Funko Pop! Animation Sailor Moon Sailor Chibi Moon Figure #295,F-POASMSC95,anime,,1,70,sailor chibi moon,no,no,5300
Funko Pop! Animation Fairytail Swim Time Happy Hot Topic Exclusive Figure #286,F-POAFSTH86,anime,,1,30,swim time happy,no,hot_topic_exclusive,10
Funko Pop! Animation My Hero Academia Tomura Shigaraki Galactic Toys Exclusive Figure #565,F-POAMHAT65,anime,,1,35,tomura shigaraki,no,galactic_toys_exclusive,68000
Funko Pop! Animation DragonBall Z Trunks (Super Saiyan) NYCC Figure #155,F-POADZT55,anime,8/27/2016,1,62,trunks,no,NYCC,49000
Funko Pop! Animation Sword Art Online Kirito Figure #82,F-POASAOK823,anime,,1,43,kirito,no,no,112000
Funko Pop! Animation My Hero Academia Mirio Togata Chalic Collectibles Exclusive Figure #611,F-POAMHAM11,anime,,1,24,mirio togata,no,chalice_exclusive,54000
Funko Pop! Animation Ouran Host Club Tamaki Figure #378,F-POAOHCT78,anime,,1,90,tamaki,no,no,99000
Funko Pop! Animation Sailor Moon Sailor Mars Figure #92,F-POASMSM92,anime,3/30/2016,3,56.66666667,sailor mars,no,no,58000
Funko Pop! Animation Yu Gi Oh! Blue-Eyes White Dragon Box Lunch Exclusive Figure #389,F-POAYGOB89,anime,,2,53.5,blue-eyes white dragon,no,box_lunch_exclusive,4800
Funko Pop! Animation Bleach Renji Game Stop Exclusive Figure #347,F-POABRGS47,anime,,2,37,renji,no,gamestop_exclusive,9700
Funko Pop! Animation One Piece Vinsmoke Sanji Figure #398,F-POAOPVS98,anime,,1,50,vinsmoke sanji,no,no,5900
Funko Pop! Animation Dragonball Z Vegeta (Eating Noodles) Spring Convention Figure #758,F-POADZV58,anime,,1,30,vegeta,no,spring_convention,164000
Funko Pop! Animation Dragonball Z Bulma Figure #707,F-POADZBF07,anime,,1,50,bulma,no,no,66000
Funko Pop! Animation Fairytail Gray Fullbuster Figure #282,F-POAFGFF82,anime,,2,55,gray fullbuster,no,no,19000
Funko Pop! Animation My Hero Academia Izuku Midoriya Figure #603,F-POAMHAI03,anime,,2,23,izuku midoriya,no,no,198000
Funko Pop! Animation Fullmetal Alchemist Roy Mustang Figure #393,F-POAFARM93,anime,,1,77,roy mustang,no,no,42000
Funko Pop! Animation Ouran Host Club Haruhi Figure #377,F-POAOHCH77,anime,,1,80,haruhi,no,no,43000
Funko Pop! Animation Cowboy Bebop 20th Vicious Figure #469,F-POACB2V69,anime,,2,20.5,vicious,no,no,71000
Funko Pop! Animation Cowboy Bebop Spike Spiegal Figure #146,F-POACBSS46,anime,10/22/2016,8,158.5,spike spiegel,no,no,88000
Funko Pop! Animation Spongebob Squarepants (Rainbow) Figure #558,F-POASSF58,anime,,9,130.4444444,spongebob rainbow,no,no,2700
Funko Pop! Animation Avatar Aang on Airscooter (Avatar State) Hot Topic Exclusive Figure #541,F-POAAAOA41,anime,2/4/2019,7,21.57142857,aang,no,hot_topic_exclusive,201000
Funko Pop! Animation Casper The Friendly Ghost Casper (Glow) Funko Shop Figure #850,F-POACTFG50,anime,10/16/2020,7,24.71428571,casper the friendly ghost,glow,funko_shop_limited,29000
Funko Pop! Animation Futurama Bender (Gold) Summer Convention Exclusive Figure #29,F-POAFBS29,anime,1/3/2015,10,59,futurama bender,no,summer_convention,2600
Funko Pop! Animation Rick and Morty Pickle Rick (with Laser) Figure #332,F-POARAMP32,anime,,8,34.75,pickle rick,no,no,83000
Funko Pop! Animation Danny Phantom Fall Convention Exclusive Figure #854,F-POADPFC54,anime,10/8/2020,6,47,danny phantom,no,fall_convention,159000
Funko Pop! Animation Danny Phantom NYCC Figure #854,F-POADPNF54,anime,10/8/2020,5,55,danny phantom,no,NYCC,159000
Funko Pop! Animation Avatar: The Last Airbender Aang on Airscooter (Glow Chase) Hot Topic Exclusive Figure #541,F-POAATLA41,anime,,3,81.33333333,aang,glow,hot_topic_exclusive,201000
Funko Pop! Animation Scooby-Doo Art Series Funko Shop Exclusive Figure #12,F-POASASF12,anime,,3,53,scooby-doo,no,funko_shop_limited,52000
Funko Pop! Animation Spongbob Squarepants Patrick Star Figure #559,F-POASSPS59,anime,,4,26,patrick star,no,no,65000
Funko Pop! Animation GI Joe Snake Eyes Bait Exclusive Figure #42,F-POAGJSE42,anime,,4,24.5,snake eyes,no,bait_exclusive,46000
Funko Pop! Animation Scooby Doo Captain Cutler (Glow) Funko Shop Exclusive Figure #632,F-POASDCC32,anime,6/24/2019,8,89.125,captain cutler,glow,funko_shop_limited,300
Funko Pop! Animation Peanuts Beagle Scout Snoopy with Woodstock Funko Shop Exclusive Figure #885,F-POAPBSS85,anime,,2,30,snoopy,no,funko_shop_limited,86000
Funko Pop! Animation Rick And Morty Roy Gamestop Exclusive Figure #418,F-POARAMR18,anime,11/9/2018,5,130.6,roy,no,gamestop_exclusive,389000
Funko Pop! Animation Digimon Agumon Figure #429,F-POADAF29,anime,,2,20,agumon,no,no,21000
Funko Pop! Animation GI Joe Cobra Commander Bait Exclusive Figure #44,F-POAGJCC44,anime,,3,23.33333333,cobra commander,no,bait_exclusive,26000
Funko Pop! Animation Scooby-Doo (Flocked) Box Lunch Exclusive Figure #149,F-POASBL49,anime,,1,45,scooby-doo,flocked,box_lunch_exclusive,52000
Funko Pop! Animation Nickelodeon Avatar The Last Airbender Zuko Figure #538,F-POANATL38,anime,,1,50,zuko,no,no,254000
Funko Pop! Animation The Flintstones The Great Gazoo (Glow) Spring Convention Exclusive Figure #743,F-POATFTG43,anime,,1,70,the great gazoo,glow,spring_convention,4500
Funko Pop! Animation Scooby Doo Art Series Box Lunch Exclusive Figure #11,F-POASDAS11,anime,10/1/2020,1,30,scooby-doo,no,box_lunch_exclusive,52000
